School,FARMS Rate,Built Date,Renovation Date,Lat,Long,Football,Field Hockey,Baseball,Softball,Lacrosse (G),Lacrosse (B),Soccer (G),Soccer (B),Basketball (G),Basketball (B),Tennis (G),Tennis (B),Total All Sports
Walter Johnson,.07,1956,"2,009","39.0251055, ",-77.129892,0.20,0.43,0.75,0.11,0.42,0.71,0.71,0.82,0.36,0.30,0.50,0.67,0.50
Wootton,.052,1970,"1,970",39.0765343,-77.1837589,0.30,0.83,0.28,0.72,0.64,0.71,0.62,0.72,0.35,0.43,0.90,0.67,0.60
Whitman,.05,1962,"1,992",38.9800621,-77.1279234,0.40,0.62,0.74,0.25,0.79,0.60,0.85,0.59,0.88,0.63,0.82,0.83,0.67
Churchill,.05,1964,"2,001",39.0432997,-77.1739917,0.20,0.62,0.24,0.33,0.71,0.88,0.81,0.36,0.77,0.55,0.80,0.75,0.59
Poolesville,.05,1953,"1,978",39.1424097,-77.4173176,0.50,0.82,0.65,0.38,0.79,0.73,0.60,0.08,0.83,0.23,0.73,0.36,0.56
Bethesda-Chevy Chase,.117,1935,"2,002",38.986759,-77.0896644,,,,,,,,,,,,,
Blair,.379,1998,"1,998",39.0178668,-77.0111222,,,,,,,,,,,,,
Northwood,.48,1954,"2,004",39.0357905,-77.02218,0.20,0.38,0.06,0.47,0.36,0.47,0.08,0.31,0.00,0.18,0.09,0.42,0.25
Kennedy,.55,1964,"1,999",39.0663475,-77.0384185,0.00,0.00,0.44,0.19,0.00,0.14,0.00,0.53,0.68,0.67,0.00,0.50,0.26
Springbrook,.45,1960,"1,994",39.0582929,-77.006489,0.56,0.81,0.06,0.28,0.54,0.53,0.54,0.20,0.27,0.63,0.45,0.17,0.42
Einstein,.45,1962,"1,997",39.040453,-77.0668175,0.10,0.08,0.56,0.18,0.08,0.36,0.23,0.47,0.09,0.22,0.50,0.10,0.25
Gaithersburg,.44,1951,"2,013",39.1351784,-77.1959496,0.50,0.20,0.89,0.29,0.42,0.31,0.23,0.15,0.59,0.72,0.33,0.50,0.43
Watkins Mill,.54,1989,"1,989",39.1840818,-77.215055,0.45,0.46,0.25,0.12,0.62,0.20,0.15,0.67,0.19,0.21,0.09,0.42,0.32
Wheaton,.54,1954,"1,983",39.0609369,-77.0664686,0.58,0.36,0.06,0.06,0.38,0.07,0.00,0.29,0.18,0.09,0.30,0.18,0.21
